index,lon,lat,alt,time
217,100.493012,13.722363,13.4,2018-07-24 07:38:14
218,100.493022,13.722318,13.6,2018-07-24 07:38:16
219,100.492994,13.722191,13.9,2018-07-24 07:38:17
220,100.492995,13.722115,13.8,2018-07-24 07:38:18
221,100.492984,13.722062,13.6,2018-07-24 07:38:19
222,100.492958,13.721988,13.2,2018-07-24 07:38:20
223,100.492937,13.721935,13.0,2018-07-24 07:38:21
224,100.492935,13.721908,12.8,2018-07-24 07:38:22
225,100.492929,13.721867,13.0,2018-07-24 07:38:23
226,100.492905,13.721887,13.1,2018-07-24 07:38:24
227,100.492885,13.721866,13.2,2018-07-24 07:38:27
228,100.492861,13.721846,13.2,2018-07-24 07:38:29
229,100.492847,13.721771,12.6,2018-07-24 07:38:33
230,100.492908,13.721745,11.6,2018-07-24 07:38:34
231,100.492938,13.72172,10.9,2018-07-24 07:38:35
232,100.492952,13.721689,10.3,2018-07-24 07:38:36
233,100.49298,13.721709,10.3,2018-07-24 07:38:37
234,100.493017,13.721708,8.9,2018-07-24 07:38:38
235,100.49306,13.721695,8.2,2018-07-24 07:38:41
236,100.493106,13.721705,7.6,2018-07-24 07:38:42
237,100.49304,13.721548,6.8,2018-07-24 07:38:46
238,100.492994,13.721415,6.4,2018-07-24 07:38:50
239,100.492949,13.721283,6.5,2018-07-24 07:38:52
240,100.492946,13.721233,6.6,2018-07-24 07:38:53
241,100.492938,13.721205,6.7,2018-07-24 07:38:54
242,100.492921,13.721164,6.8,2018-07-24 07:38:55
243,100.492906,13.721295,7.0,2018-07-24 07:38:57
244,100.492917,13.721447,8.0,2018-07-24 07:38:59
245,100.492893,13.721467,8.7,2018-07-24 07:39:00
246,100.492865,13.721548,10.4,2018-07-24 07:39:01
247,100.492825,13.721543,11.0,2018-07-24 07:39:02
248,100.492785,13.72153,11.4,2018-07-24 07:39:04
249,100.492752,13.721505,12.1,2018-07-24 07:39:06
250,100.492728,13.721531,12.5,2018-07-24 07:39:07
251,100.492699,13.721519,13.1,2018-07-24 07:39:09
252,100.492704,13.721551,13.7,2018-07-24 07:39:10
253,100.49303,13.721096,9.7,2018-07-24 07:39:42
254,100.493059,13.721091,9.6,2018-07-24 07:39:43
255,100.493091,13.721104,9.5,2018-07-24 07:39:44
256,100.493126,13.721092,9.4,2018-07-24 07:39:45
257,100.493164,13.721093,9.2,2018-07-24 07:39:46
258,100.493198,13.721089,9.1,2018-07-24 07:39:48
259,100.493255,13.72108,8.9,2018-07-24 07:39:50
260,100.493292,13.721083,8.7,2018-07-24 07:39:51
261,100.49332,13.721092,8.5,2018-07-24 07:39:52
262,100.493349,13.721098,8.4,2018-07-24 07:39:53
263,100.493401,13.721109,8.1,2018-07-24 07:39:55
264,100.493444,13.721121,7.9,2018-07-24 07:39:56
265,100.49348,13.721117,7.6,2018-07-24 07:39:57
266,100.493518,13.721119,7.3,2018-07-24 07:39:58
267,100.493562,13.721135,7.0,2018-07-24 07:39:59
268,100.493599,13.721133,7.1,2018-07-24 07:40:00
269,100.493642,13.721135,7.1,2018-07-24 07:40:01
270,100.49367,13.721132,7.2,2018-07-24 07:40:02
271,100.493714,13.721131,7.2,2018-07-24 07:40:04
272,100.49375,13.721137,7.3,2018-07-24 07:40:05
273,100.493786,13.721135,7.3,2018-07-24 07:40:06
274,100.493817,13.721139,7.4,2018-07-24 07:40:07
275,100.493868,13.72113,7.5,2018-07-24 07:40:09
276,100.493917,13.721123,7.6,2018-07-24 07:40:11
277,100.493943,13.721137,7.6,2018-07-24 07:40:12
278,100.49399,13.721147,7.7,2018-07-24 07:40:14
279,100.49402,13.721135,7.7,2018-07-24 07:40:15
280,100.494058,13.721144,7.8,2018-07-24 07:40:16
281,100.494101,13.721159,7.9,2018-07-24 07:40:17
282,100.494154,13.721178,7.9,2018-07-24 07:40:19
283,100.494189,13.721166,8.0,2018-07-24 07:40:21
284,100.494212,13.721191,8.0,2018-07-24 07:40:22
285,100.494267,13.721201,8.0,2018-07-24 07:40:24
286,100.49432,13.721193,8.1,2018-07-24 07:40:26
287,100.494358,13.721198,8.1,2018-07-24 07:40:27
288,100.494394,13.721211,8.1,2018-07-24 07:40:28
289,100.494436,13.721218,8.2,2018-07-24 07:40:29
290,100.494478,13.721227,8.3,2018-07-24 07:40:30
291,100.494527,13.721244,8.4,2018-07-24 07:40:32
292,100.494575,13.721247,8.4,2018-07-24 07:40:34
293,100.494615,13.72124,8.5,2018-07-24 07:40:36
294,100.494651,13.721232,8.6,2018-07-24 07:40:37
295,100.494683,13.721253,8.6,2018-07-24 07:40:38
296,100.494735,13.721261,8.7,2018-07-24 07:40:40
297,100.494783,13.72126,8.8,2018-07-24 07:40:42
298,100.494813,13.721274,9.2,2018-07-24 07:40:43
299,100.494841,13.721282,10.0,2018-07-24 07:40:44
300,100.49487,13.721295,10.0,2018-07-24 07:40:45
301,100.494895,13.721309,9.9,2018-07-24 07:40:46
302,100.49492,13.721329,9.8,2018-07-24 07:40:47
303,100.494944,13.721346,9.6,2018-07-24 07:40:48
304,100.494988,13.721374,9.3,2018-07-24 07:40:50
305,100.495032,13.72141,9.0,2018-07-24 07:40:52
306,100.495053,13.72143,8.9,2018-07-24 07:40:53
307,100.49509,13.721441,8.7,2018-07-24 07:40:55
308,100.495131,13.721452,8.5,2018-07-24 07:40:57
309,100.495167,13.721481,8.2,2018-07-24 07:40:59
310,100.495188,13.721505,8.0,2018-07-24 07:41:01
311,100.495223,13.721534,7.8,2018-07-24 07:41:03
312,100.495255,13.721496,7.5,2018-07-24 07:41:06
313,100.495318,13.721515,7.1,2018-07-24 07:41:08
314,100.495369,13.721518,6.8,2018-07-24 07:41:09
315,100.49541,13.721483,6.4,2018-07-24 07:41:10
316,100.495444,13.721481,6.2,2018-07-24 07:41:11
317,100.495477,13.721487,6.0,2018-07-24 07:41:12
318,100.495524,13.721479,6.1,2018-07-24 07:41:14
319,100.495542,13.721501,6.1,2018-07-24 07:41:16
320,100.495587,13.721454,6.2,2018-07-24 07:41:18
321,100.495643,13.721441,6.3,2018-07-24 07:41:20
322,100.495681,13.721421,6.4,2018-07-24 07:41:21
323,100.495709,13.721397,6.4,2018-07-24 07:41:22
324,100.495737,13.721399,6.5,2018-07-24 07:41:23
325,100.495765,13.721394,6.5,2018-07-24 07:41:24
326,100.495793,13.721377,6.6,2018-07-24 07:41:25
327,100.495857,13.721379,6.7,2018-07-24 07:41:27
328,100.49589,13.721375,6.7,2018-07-24 07:41:28
329,100.495922,13.721369,6.7,2018-07-24 07:41:29
330,100.495953,13.72136,6.8,2018-07-24 07:41:30
331,100.49598,13.721365,6.8,2018-07-24 07:41:31
332,100.496006,13.721335,6.8,2018-07-24 07:41:32
333,100.496045,13.721317,6.9,2018-07-24 07:41:33
334,100.496085,13.72132,6.9,2018-07-24 07:41:34
335,100.496118,13.721331,6.9,2018-07-24 07:41:35
336,100.496149,13.721338,6.9,2018-07-24 07:41:36
337,100.496192,13.721317,7.0,2018-07-24 07:41:37
338,100.496232,13.721319,7.0,2018-07-24 07:41:38
339,100.49627,13.721314,7.0,2018-07-24 07:41:39
340,100.49629,13.72134,7.1,2018-07-24 07:41:40
341,100.496322,13.72132,7.1,2018-07-24 07:41:41
342,100.496369,13.721296,7.1,2018-07-24 07:41:42
343,100.496408,13.721282,9.3,2018-07-24 07:41:43
